t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.1185592796,64.1424468263,130.1679157515,119.1708096014,58.4025149525,419.8711418823,227.0141169070
0.1190595298,64.3548926357,130.2264050284,119.6419433429,58.3488518386,419.8723794973,227.0955968559
0.1195597799,64.5666501438,130.2848943053,120.1126870256,58.2952364881,419.8730512581,227.1770768049
0.1200600300,64.7777174155,130.3433835822,120.5830392250,58.2416614334,419.8731004362,227.2585567539
0.1205602801,64.9880925270,130.4018728591,121.0529985194,58.1881192068,419.8722947660,227.3400367029
0.1210605303,65.1977735658,130.4603621360,121.5225634894,58.1346023404,419.8706569586,227.4215166518
0.1215607804,65.4067586307,130.5188514129,121.9917327185,58.0811033667,419.8682802997,227.5029966008
0.1220610305,65.6150458319,130.5773406898,122.4605047928,58.0276148179,419.8652580751,227.5844765498
0.1225612806,65.8226332909,130.6358299667,122.9288783010,57.9741292263,419.8616835703,227.6659564987
0.1230615308,66.0295191406,130.6943192436,123.3968518344,57.9206391242,419.8576500710,227.7474364477
0.1235617809,66.2357015256,130.7528085205,123.8644239873,57.8671370439,419.8532508629,227.8289163967
0.1240620310,66.4411786017,130.8112977974,124.3315933564,57.8136155177,419.8485792317,227.9103963457
0.1245622811,66.6459485363,130.8697870743,124.7983585411,57.7600670779,419.8437284631,227.9918762946
0.1250625313,66.8500095084,130.9282763513,125.2647181437,57.7064842567,419.8387918426,228.0733562436
0.1255627814,67.0533597085,130.9867656282,125.7306707692,57.6528557112,419.8338626561,228.1548361926
0.1260630315,67.2559973387,131.0452549051,126.1962150251,57.5991570104,419.8290341890,228.2363161416
0.1265632816,67.4579206127,131.1037441820,126.6613495219,57.5453935044,419.8243997273,228.3177960905
0.1270635318,67.6591277560,131.1622334589,127.1260728727,57.4915752421,419.8200525564,228.3992760395
0.1275637819,67.8596170057,131.2207227358,127.5903836934,57.4377122725,419.8160859621,228.4807559885
0.1280640320,68.0593866106,131.2792120127,128.0542806027,57.3838146445,419.8125932300,228.5622359375
0.1285642821,68.2584348311,131.3377012896,128.5177622220,57.3298924071,419.8096676458,228.6437158864
0.1290645323,68.4567599397,131.3961905665,128.9808271757,57.2759556094,419.8074024952,228.7251958354
0.1295647824,68.6543602205,131.4546798434,129.4434740906,57.2220143002,419.8058756477,228.8066757844
0.1300650325,68.8512339693,131.5131691203,129.9057015967,57.1680785284,419.8046256531,228.8881557334
0.1305652826,69.0473794941,131.5716583972,130.3675083266,57.1141583432,419.8034032651,228.9696356823
0.1310655328,69.2427951145,131.6301476741,130.8288929157,57.0602637934,419.8022129763,229.0511156313
0.1315657829,69.4374791621,131.6886369510,131.2898540025,57.0064049280,419.8010592790,229.1325955803
0.1320660330,69.6314299804,131.7471262279,131.7503902279,56.9525917959,419.7999466658,229.2140755293
0.1325662831,69.8246459250,131.8056155048,132.2105002362,56.8988344462,419.7988796291,229.2955554782
0.1330665333,70.0171253633,131.8641047817,132.6701826740,56.8451429277,419.7978626615,229.3770354272
0.1335667834,70.2088666749,131.9225940586,133.1294361911,56.7915272895,419.7969002552,229.4585153762
0.1340670335,70.3998682512,131.9810833355,133.5882594402,56.7379975806,419.7959969030,229.5399953252
0.1345672836,70.5901284961,132.0395726124,134.0466510767,56.6845638497,419.7951570971,229.6214752741
0.1350675338,70.7796458251,132.0980618893,134.5046097590,56.6312361461,419.7943853301,229.7029552231
0.1355677839,70.9684186662,132.1565511662,134.9621341485,56.5780245185,419.7936860944,229.7844351721
0.1360680340,71.1564454593,132.2150404431,135.4192229093,56.5249390160,419.7930638825,229.8659151211
