t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.5937968984,1.7777526640,-0.7059462714,0.9906198960,2.5476564515,-0.7447602538,1.0161142413
0.5942971486,1.7804292450,-0.7055664661,0.9923658288,2.1650529217,-0.7451859147,1.0175608857
0.5947973987,1.7831038598,-0.7051863596,0.9941120544,1.5124292592,-0.3485869735,1.0190075301
0.5952976488,1.7857764960,-0.7048059526,0.9958585672,0.9239384591,-0.4102004089,1.0204541745
0.5957978989,1.7884471413,-0.7044252456,0.9976053618,0.8026778541,-0.5948118196,1.0219008188
0.5962981491,1.7911157832,-0.7040442395,0.9993524324,1.8745948722,-1.0565456835,1.0233474632
0.5967983992,1.7937824095,-0.7036629349,1.0010997734,2.3249301178,-0.9752920910,1.0247941076
0.5972986493,1.7964470079,-0.7032813324,1.0028473793,2.5522220735,-0.8239025726,1.0262407520
0.5977988994,1.7991095660,-0.7028994327,1.0045952445,1.9008072019,-0.7505631798,1.0276873963
0.5982991496,1.8017700716,-0.7025172365,1.0063433632,0.7473052273,-0.7511592950,1.0291340407
0.5987993997,1.8044285125,-0.7021347446,1.0080917300,1.7193428828,-0.7522613155,1.0305806851
0.5992996498,1.8070848764,-0.7017519574,1.0098403392,2.1009883286,-0.7531173434,1.0320273295
0.5997998999,1.8097391510,-0.7013688758,1.0115891851,2.3740073897,-0.3688775330,1.0334739738
0.6003001501,1.8123913242,-0.7009855005,1.0133382622,2.5302712063,-0.6366601069,1.0349206182
0.6008004002,1.8150413838,-0.7006018320,1.0150875649,2.5419806183,-0.9636002089,1.0363672626
0.6013006503,1.8176893177,-0.7002178710,1.0168370875,2.0021005122,-1.0346769652,1.0378139070
0.6018009005,1.8203351137,-0.6998336184,1.0185868244,0.7746928701,-0.8174622425,1.0392605513
0.6023011506,1.8229787596,-0.6994490746,1.0203367699,1.1520283149,-0.6538217611,1.0407071957
0.6028014007,1.8256202434,-0.6990642404,1.0220869186,1.7346955037,-0.5027376088,1.0421538401
0.6033016508,1.8282595530,-0.6986791166,1.0238372646,2.2850068022,-0.3880544468,1.0436004845
0.6038019010,1.8308966764,-0.6982937036,1.0255878025,2.5652745760,-0.3553361946,1.0450471288
0.6043021511,1.8335316014,-0.6979080024,1.0273385265,0.7845584685,-0.6925257679,1.0464937732
